obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OOCH,2.86,B,P,4.66,C,S
N.SDAH,3.11,B,P,5.13,C,S
N.YSDH,4.96,B,P,8.16,C,S
N.GOTH,5.81,B,P,9.72,C,S
N.HIRH,6.18,B,P,10.39,C,S
N.KACH,6.16,B,P,10.26,C,S
N.HSMH,6.88,B,P,11.41,C,S
N.IWAH,6.78,B,P,11.43,C,S
N.KTWH,8.09,B,P,13.48,C,S
N.NITH,8.30,B,P,13.92,C,S
N.KNGH,8.50,B,P,14.36,C,S
N.GEIH,9.25,B,P,15.64,C,S
N.KSIH,9.60,B,P,99.99,*,S
N.HKTH,11.00,B,P,18.55,C,S
N.KSAH,11.50,B,P,19.54,C,S
N.SGOH,11.97,B,P,20.46,C,S
N.MITH,12.57,B,P,21.44,C,S
N.MHSH,13.50,B,P,99.99,*,S
N.TTAH,13.99,B,P,23.78,C,S
N.HHIH,14.51,B,P,24.39,C,S
N.HISH,25.44,B,P,99.99,*,S
N.SKIH,16.33,B,P,27.83,C,S
N.HKBH,16.64,B,P,28.60,C,S
N.MIHH,17.09,B,P,28.97,C,S
N.YBRH,16.94,B,P,28.84,C,S
N.AKSH,17.02,B,P,28.80,C,S
N.KURH,17.14,B,P,29.11,C,S
N.TMGH,17.32,B,P,29.64,C,S
N.BSEH,17.67,B,P,30.13,C,S
N.NMKH,19.56,B,P,33.46,C,S
