obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MYKH,5.20,B,P,8.67,C,S
N.SJOH,5.52,B,P,8.97,C,S
N.NMKH,6.03,B,P,10.13,C,S
N.TBRH,6.17,B,P,10.55,C,S
N.SINH,6.89,B,P,11.25,C,S
N.MNOH,6.99,B,P,11.94,C,S
N.MIHH,7.43,B,P,12.76,C,S
N.GHKH,8.06,B,P,13.17,C,S
N.MTYH,8.26,B,P,13.37,C,S
N.MIGH,8.83,B,P,14.75,C,S
N.KNBH,9.06,B,P,15.55,C,S
N.IKKH,9.34,B,P,15.45,C,S
N.IKWH,9.51,B,P,16.07,C,S
N.AYKH,10.20,B,P,17.48,C,S
N.HHIH,10.87,B,P,18.20,C,S
N.TBEH,11.05,B,P,99.99,*,S
N.TKBH,16.36,B,P,28.19,C,S
N.UUMH,16.58,B,P,28.19,C,S
