obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.GOTH,12.82,B,P,22.01,C,S
N.KNGH,13.14,B,P,22.29,C,S
N.TMGH,13.95,B,P,23.84,C,S
N.MITH,14.10,B,P,24.46,C,S
N.OOCH,14.99,B,P,25.74,C,S
N.IWAH,15.18,B,P,26.36,C,S
N.HIKH,15.83,B,P,27.34,C,S
N.MTMH,16.10,B,P,28.16,C,S
N.GEIH,16.48,B,P,28.48,C,S
N.SDAH,16.97,B,P,29.23,C,S
N.TGUH,17.26,B,P,29.94,C,S
N.HIRH,18.19,B,P,99.99,*,S
N.HSMH,17.92,B,P,30.86,C,S
N.HGIH,17.61,B,P,30.56,C,S
N.MICH,18.41,B,P,31.60,C,S
N.YSDH,18.79,B,P,32.71,C,S
N.KACH,18.91,B,P,33.04,C,S
N.SKIH,19.49,B,P,33.71,C,S
N.NGTH,19.36,B,P,33.46,C,S
N.HISH,36.16,B,P,99.99,*,S
N.TKJH,20.84,B,P,35.96,C,S
N.MTOH,20.55,B,P,35.97,C,S
N.KSIH,21.04,B,P,99.99,*,S
N.MKWH,21.82,B,P,37.62,C,S
N.KSAH,23.01,B,P,39.90,C,S
N.TYUH,23.73,B,P,99.99,*,S
N.HKTH,24.06,B,P,99.99,*,S
