obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KTWH,3.82,B,P,99.99,*,S
N.HSMH,4.18,B,P,6.89,C,S
N.YSDH,4.50,B,P,7.30,C,S
N.SDAH,5.93,B,P,9.84,C,S
N.OOCH,6.00,B,P,9.85,C,S
N.KSAH,5.98,B,P,9.93,C,S
N.JNSH,6.41,B,P,10.59,C,S
N.YSHH,6.80,B,P,11.30,C,S
N.NITH,6.73,B,P,11.16,C,S
N.IWAH,7.10,B,P,11.84,C,S
N.KACH,7.69,B,P,12.80,C,S
N.SGOH,8.06,B,P,13.64,C,S
N.DWAH,8.55,B,P,14.27,C,S
N.TTAH,9.29,B,P,15.54,C,S
N.HKTH,9.42,B,P,15.74,C,S
N.HHIH,9.93,B,P,16.67,C,S
N.KNGH,10.27,B,P,17.30,C,S
N.KSIH,11.48,B,P,19.05,C,S
N.MIHH,11.79,B,P,19.85,C,S
N.KNBH,12.19,B,P,20.57,C,S
N.BSEH,12.30,B,P,20.78,C,S
N.HKBH,12.26,B,P,20.73,C,S
N.HISH,12.72,B,P,21.31,C,S
N.KURH,13.32,B,P,22.11,C,S
N.MHSH,13.93,B,P,23.71,C,S
