obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MITH,2.33,B,P,3.61,C,S
N.HIKH,2.79,B,P,4.45,C,S
N.TGUH,4.98,B,P,8.33,C,S
N.TMGH,5.42,B,P,9.09,C,S
N.MICH,5.85,B,P,9.56,C,S
N.KNGH,5.96,B,P,99.99,*,S
N.SKIH,6.48,B,P,10.81,C,S
N.MTMH,6.82,B,P,11.49,C,S
N.GEIH,6.90,B,P,11.54,C,S
N.HRSH,7.65,B,P,12.88,C,S
N.IWAH,8.33,B,P,14.06,C,S
N.HISH,8.44,B,P,14.18,C,S
N.GOTH,8.55,B,P,14.42,C,S
N.MKWH,9.16,B,P,15.28,C,S
N.TKJH,10.07,B,P,16.94,C,S
N.HGIH,10.63,B,P,18.18,C,S
N.OKMH,11.21,B,P,18.83,C,S
N.HSMH,11.16,B,P,18.83,C,S
N.OOCH,11.81,B,P,20.08,C,S
N.SYTH,12.26,B,P,99.99,*,S
N.KURH,12.74,B,P,21.55,C,S
N.MTOH,12.87,B,P,21.86,C,S
