obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SGUH,3.11,B,P,4.98,C,S
N.AIOH,3.50,B,P,5.67,C,S
N.YMSH,4.58,B,P,7.50,C,S
N.KMGH,4.60,B,P,7.63,C,S
N.KKGH,4.92,B,P,8.33,C,S
N.NKOH,5.23,B,P,8.60,C,S
N.HNSH,6.05,B,P,10.04,C,S
N.OHAH,6.41,B,P,10.39,C,S
N.HAGH,7.13,B,P,11.84,C,S
N.KAMH,7.46,B,P,12.52,C,S
N.SYOH,8.15,B,P,13.74,C,S
N.SETH,8.38,B,P,14.14,C,S
N.TJOH,8.63,B,P,14.53,C,S
N.UUMH,9.00,B,P,15.19,C,S
N.CHZH,9.40,B,P,99.99,*,S
N.SNTH,9.96,B,P,16.63,C,S
N.TKBH,11.12,B,P,18.89,C,S
N.FKCH,12.29,B,P,20.77,C,S
N.KNHH,13.52,B,P,22.78,C,S
N.IAMH,13.73,B,P,23.12,C,S
N.TOKH,16.57,B,P,99.99,*,S
