obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KAMH,2.44,B,P,3.91,C,S
N.TJOH,4.56,B,P,7.54,C,S
N.YMSH,4.57,B,P,7.59,C,S
N.SNTH,5.04,B,P,8.25,C,S
N.KKGH,5.59,B,P,9.26,C,S
N.SSYH,6.17,B,P,10.33,C,S
N.FKCH,6.39,B,P,10.53,C,S
N.SGUH,6.89,B,P,11.49,C,S
N.HAGH,7.22,B,P,12.09,C,S
N.KMEH,9.04,B,P,15.12,C,S
N.OHAH,9.58,B,P,16.23,C,S
N.KMGH,9.95,B,P,16.65,C,S
N.KNHH,10.59,B,P,17.68,C,S
N.MYMH,10.70,B,P,17.97,C,S
N.CHZH,11.60,B,P,19.55,C,S
N.HNSH,11.89,B,P,20.13,C,S
N.SYOH,12.42,B,P,21.17,C,S
N.IAMH,13.34,B,P,22.39,C,S
N.INEH,13.52,B,P,22.70,C,S
N.UUMH,14.62,B,P,24.59,C,S
N.TKBH,16.82,B,P,28.23,C,S
