obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.NMKH,2.57,B,P,4.20,C,S
N.KNBH,2.99,B,P,4.81,C,S
N.MIGH,4.47,B,P,7.43,C,S
N.BSEH,5.48,B,P,9.10,C,S
N.MIHH,6.07,B,P,10.26,C,S
N.MABH,6.59,B,P,11.11,C,S
N.DWAH,7.20,B,P,11.90,C,S
N.MYKH,7.33,B,P,12.30,C,S
N.MNOH,7.71,B,P,13.02,C,S
N.JNSH,8.07,B,P,13.53,C,S
N.KSAH,8.42,B,P,14.12,C,S
N.TAMH,8.60,B,P,14.45,C,S
N.TTAH,8.96,B,P,15.03,C,S
N.HHIH,9.24,B,P,15.56,C,S
N.HKBH,10.13,B,P,17.13,C,S
N.AYKH,10.21,B,P,17.48,C,S
N.TKBH,11.01,B,P,18.68,C,S
N.SINH,11.22,B,P,18.86,C,S
N.SGOH,11.41,B,P,19.31,C,S
N.KURH,11.87,B,P,20.25,C,S
N.IKWH,11.95,B,P,20.28,C,S
N.SETH,12.41,B,P,21.08,C,S
N.HSMH,13.82,B,P,23.36,C,S
N.UUMH,25.29,B,P,99.99,*,S
N.HKTH,15.70,B,P,99.99,*,S
N.OOCH,17.58,B,P,99.99,*,S
N.SKIH,31.56,B,P,99.99,*,S
