obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KNGH,2.62,B,P,4.29,C,S
N.GOTH,3.94,B,P,6.51,C,S
N.IWAH,4.96,B,P,8.12,C,S
N.MITH,5.10,B,P,8.53,C,S
N.GEIH,5.41,B,P,8.92,C,S
N.TGUH,7.00,B,P,11.69,C,S
N.HIKH,7.17,B,P,12.08,C,S
N.OOCH,7.29,B,P,12.08,C,S
N.HRSH,7.94,B,P,13.31,C,S
N.HSMH,8.05,B,P,13.47,C,S
N.YSHH,9.53,B,P,16.12,C,S
N.TMGH,9.52,B,P,16.04,C,S
N.SKIH,10.05,B,P,16.91,C,S
N.HISH,10.42,B,P,17.31,C,S
N.MICH,10.76,B,P,18.14,C,S
N.MTMH,11.61,B,P,19.34,C,S
N.YSDH,11.98,B,P,20.17,C,S
N.KSAH,12.93,B,P,99.99,*,S
N.HHIH,13.13,B,P,22.24,C,S
N.MKWH,13.73,B,P,23.03,C,S
N.OKMH,14.02,B,P,23.31,C,S
N.KURH,14.00,B,P,23.72,C,S
N.KACH,13.94,B,P,23.75,C,S
N.TKJH,15.04,B,P,25.62,C,S
N.HGIH,25.79,B,P,99.99,*,S
N.SYTH,16.74,B,P,28.28,C,S
N.MIHH,16.59,B,P,28.37,C,S
N.MTOH,17.64,B,P,30.09,C,S
N.HKTH,18.23,B,P,31.16,C,S
