obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.IKNH,2.89,B,P,4.58,C,S
N.MKWH,3.34,B,P,5.36,C,S
N.SKIH,3.44,B,P,5.66,C,S
N.MICH,4.79,B,P,8.02,C,S
N.SYTH,5.41,B,P,8.98,C,S
N.OKMH,5.44,B,P,9.10,C,S
N.HISH,5.64,B,P,9.53,C,S
N.HIKH,6.42,B,P,10.75,C,S
N.TGUH,6.50,B,P,10.87,C,S
N.TKJH,7.16,B,P,12.27,C,S
N.KRHH,7.29,B,P,12.21,C,S
N.TKUH,7.74,B,P,12.99,C,S
N.HRSH,7.99,B,P,13.32,C,S
N.TOHH,8.30,B,P,14.09,C,S
N.MITH,8.34,B,P,14.07,C,S
N.KURH,8.59,B,P,14.59,C,S
N.KNSH,8.88,B,P,14.82,C,S
N.MTMH,8.84,B,P,14.92,C,S
N.TMGH,9.75,B,P,16.58,C,S
N.HHIH,11.24,B,P,18.99,C,S
N.KNGH,11.74,B,P,19.89,C,S
N.HGIH,11.75,B,P,19.63,C,S
N.MTOH,11.83,B,P,20.14,C,S
N.IWAH,12.40,B,P,21.05,C,S
N.HSMH,13.75,B,P,23.42,C,S
N.TBEH,14.96,B,P,99.99,*,S
N.OOCH,16.42,B,P,28.02,C,S
N.MISH,16.98,B,P,28.13,C,S
N.TYUH,18.27,B,P,31.34,C,S
N.NMKH,18.65,B,P,99.99,*,S
N.BZNH,19.18,B,P,33.10,C,S
