obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.AYKH,3.09,B,P,5.06,C,S
N.MKIH,4.08,B,P,6.77,C,S
N.TAMH,5.11,B,P,8.46,C,S
N.MNOH,5.18,B,P,8.71,C,S
N.OHCH,6.14,B,P,10.42,C,S
N.IKWH,6.30,B,P,10.37,C,S
N.SADH,6.30,B,P,10.28,C,S
N.UUMH,6.93,B,P,11.75,C,S
N.MABH,8.31,B,P,14.12,C,S
N.KYDH,8.87,B,P,14.41,C,S
N.SINH,9.02,B,P,14.90,C,S
N.SETH,9.17,B,P,15.47,C,S
N.HNSH,9.87,B,P,16.67,C,S
N.NMKH,9.99,B,P,17.05,C,S
N.KNBH,10.15,B,P,17.19,C,S
N.BSEH,10.12,B,P,17.20,C,S
N.TKBH,11.21,B,P,19.04,C,S
N.KMGH,12.85,B,P,21.71,C,S
N.KNNH,13.83,B,P,22.52,C,S
N.HKBH,13.23,B,P,22.49,C,S
N.CHZH,18.27,B,P,99.99,*,S
