obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SJOH,4.86,B,P,7.86,C,S
N.MYKH,5.33,B,P,8.78,C,S
N.TBRH,5.69,B,P,9.86,C,S
N.SINH,6.37,B,P,10.47,C,S
N.NMKH,6.65,B,P,11.20,C,S
N.MNOH,7.31,B,P,12.14,C,S
N.GHKH,7.27,B,P,11.96,C,S
N.MTYH,7.72,B,P,12.43,C,S
N.MIHH,7.71,B,P,13.16,C,S
N.IKKH,8.65,B,P,14.37,C,S
N.IKWH,9.23,B,P,15.89,C,S
N.KNBH,9.66,B,P,16.45,C,S
N.AYKH,10.47,B,P,17.69,C,S
N.TBEH,10.51,B,P,17.42,C,S
N.HHIH,11.14,B,P,18.80,C,S
N.KURH,11.30,B,P,99.99,*,S
N.BSEH,12.12,B,P,20.64,C,S
N.TKBH,16.81,B,P,99.99,*,S
N.UUMH,16.84,B,P,28.63,C,S
N.HSMH,17.99,B,P,99.99,*,S
N.TOKH,18.74,B,P,99.99,*,S
