obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TMGH,8.07,B,P,13.62,C,S
N.MITH,10.29,B,P,17.50,C,S
N.MTMH,10.32,B,P,17.53,C,S
N.KNGH,11.10,B,P,18.92,C,S
N.HIKH,11.57,B,P,19.58,C,S
N.HGIH,11.77,B,P,20.23,C,S
N.GOTH,12.09,B,P,20.71,C,S
N.MICH,13.18,B,P,22.43,C,S
N.TGUH,13.85,B,P,23.62,C,S
N.NGTH,13.54,B,P,23.28,C,S
N.IWAH,14.05,B,P,24.12,C,S
N.GEIH,14.16,B,P,24.12,C,S
N.MTOH,15.05,B,P,25.72,C,S
N.SKIH,15.47,B,P,26.17,C,S
N.TKJH,15.21,B,P,26.03,C,S
N.OOCH,15.29,B,P,26.20,C,S
N.MKWH,16.87,B,P,28.75,C,S
N.HSMH,17.23,B,P,29.52,C,S
N.HISH,17.48,B,P,29.79,C,S
N.MNEH,17.33,B,P,30.41,C,S
N.TYUH,18.32,B,P,31.60,C,S
N.UBEH,19.09,B,P,99.99,*,S
N.TKUH,19.66,B,P,33.64,C,S
N.SYTH,19.97,B,P,34.25,C,S
N.OKMH,19.92,B,P,34.28,C,S
N.YSDH,19.81,B,P,34.31,C,S
N.KURH,21.70,B,P,37.27,C,S
N.KACH,21.16,B,P,36.44,C,S
N.HHIH,21.56,B,P,37.11,C,S
N.KSAH,22.16,B,P,38.24,C,S
N.KKYH,21.63,B,P,37.45,C,S
N.KNSH,23.58,B,P,40.31,C,S
