obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KSBH,3.17,B,P,5.29,C,S
N.SKGH,3.81,B,P,6.42,C,S
N.KWHH,4.57,B,P,7.65,C,S
N.AKSH,5.48,B,P,9.17,C,S
N.CHZH,5.63,B,P,9.47,C,S
N.YBRH,6.45,B,P,11.09,C,S
N.IAMH,7.22,B,P,12.12,C,S
N.SYOH,7.31,B,P,12.16,C,S
N.MZKH,7.35,B,P,12.44,C,S
N.OHAH,8.67,B,P,14.68,C,S
N.HINH,9.47,B,P,16.01,C,S
N.HKBH,10.31,B,P,17.64,C,S
N.MHSH,10.91,B,P,18.61,C,S
N.TKBH,10.53,B,P,17.91,C,S
N.HKTH,10.81,B,P,18.40,C,S
N.KMGH,11.53,B,P,19.60,C,S
N.SGOH,11.95,B,P,20.41,C,S
N.TTAH,12.63,B,P,21.51,C,S
N.SETH,12.78,B,P,21.66,C,S
N.SGUH,13.23,B,P,21.92,C,S
N.YMSH,13.41,B,P,22.63,C,S
N.HNSH,13.86,B,P,23.61,C,S
N.KSIH,14.44,B,P,24.55,C,S
N.KAMH,15.88,B,P,26.80,C,S
N.UUMH,18.59,B,P,31.61,C,S
