'01','01',N.WNNH,稚内北,わっかないきた,WAKKANAI-N,北海道,45.4883,141.8850,45.4861,141.8889,45,-159.06,205.5,SOYH05,0
'01','01',N.SFNH,猿払北,さるふつきた,SARUFUTSU-N,北海道,45.3346,142.1185,45.3324,142.1224,20,-81.6,103,SOYH01,0
'01','01',N.WNWH,稚内西,わっかないにし,WAKKANAI-W,北海道,45.2531,141.6334,45.2508,141.6372,8,-130.6,140,SOYH03,0
'01','01',N.WNEH,稚内東,わっかないひがし,WAKKANAI-E,北海道,45.2303,141.8806,45.2281,141.8844,30,-174.6,206,SOYH04,0
'01','01',N.SFSH,猿払南,さるふつみなみ,SARUFUTSU-S,北海道,45.2163,142.2254,45.2141,142.2293,5,-96.6,103,SOYH02,0
'01','01',N.TYTH,豊富,とよとみ,TOYOTOMI,北海道,45.1019,141.7831,45.0997,141.7869,15,-121.56,138,SOYH06,0
'01','01',N.HTBH,浜頓別,はまとんべつ,HAMATONBETSU,北海道,45.1001,142.4307,45.0978,142.4346,7,-144.56,153,SOYH07,0
'01','01',N.HNBH,幌延,ほろのべ,HORONOBE,北海道,45.0167,142.0795,45.0144,142.0833,30,-71.63,103,RMIH01,0
'01','01',N.NTBH,中頓別,なかとんべつ,NAKATONBETSU,北海道,44.9387,142.2247,44.9364,142.2286,40,-61.56,103,SOYH08,0
'01','01',N.TSOH,天塩,てしお,TESHIO,北海道,44.8948,141.9251,44.8925,141.9289,10,-98.63,110,RMIH02,0
'01','01',N.UNNH,歌登北,うたのぼりきた,UTANOBORI-N,北海道,44.8570,142.4868,44.8547,142.4907,20,-81.56,103,SOYH09,0
'01','01',N.ONPH,音威子府,おといねっぷ,OTOINEPPU,北海道,44.7745,142.2542,44.7722,142.2581,70,-37,109,KKWH09,0
'01','01',N.UNSH,歌登南,うたのぼりみなみ,UTANOBORI-S,北海道,44.7433,142.6039,44.7410,142.6078,73,-28.56,103,SOYH10,0
'01','01',N.NAWH,中川,なかがわ,NAKAGAWA,北海道,44.6617,142.0528,44.6594,142.0567,65,-41,108,KKWH10,0
'01','01',N.EBTH,遠別,えんべつ,ENBETSU,北海道,44.6359,141.8187,44.6336,141.8225,20,-190.6,212,RMIH03,0
'01','01',N.BFNH,美深北,びふかきた,BIFUKA-N,北海道,44.5973,142.3036,44.5950,142.3075,61,-51.51,114,KKWH01,0
'01','01',N.BFEH,美深東,びふかひがし,BIFUKA-E,北海道,44.5509,142.5736,44.5486,142.5775,283,169.52,115,KKWH02,0
'01','01',N.OUMH,雄武,おうむ,OUMU,北海道,44.5276,142.8444,44.5253,142.8483,105,3.48,103,ABSH01,0
'01','01',N.BFWH,美深西,びふかにし,BIFUKA-W,北海道,44.4732,142.2725,44.4708,142.2764,100,-1.51,103,KKWH03,0
'01','01',N.NYRH,名寄,なよろ,NAYORO,北海道,44.4376,142.4056,44.4353,142.4094,84,-17.51,103,KKWH04,0
'01','01',N.OPWH,興部西,おこっぺにし,OKOPPE-W,北海道,44.4234,143.0264,44.4210,143.0304,38,-76.52,116,ABSH02,0
'01','01',N.OPEH,興部東,おこっぺひがし,OKOPPE-E,北海道,44.3843,143.2407,44.3819,143.2446,30,-71.52,103,ABSH03,0
'01','01',N.SWEH,下川東,しもかわひがし,SHIMOKAWA-E,北海道,44.3207,142.7656,44.3183,142.7694,200,98.49,103,KKWH06,0
'01','01',N.SWWH,下川西,しもかわにし,SHIMOKAWA-W,北海道,44.2921,142.6303,44.2897,142.6342,160,-141.51,303,KKWH05,0
'01','01',N.HONH,幌加内北,ほろかないきた,HOROKANAI-N,北海道,44.2803,142.1594,44.2780,142.1633,260,158.5,103.5,SRCH01,0
'01','01',N.YBNH,湧別北,ゆうべつきた,YUBETSU-N,北海道,44.2146,143.6202,44.2122,143.6242,7,-94.52,103,ABSH06,0
'01','01',N.TUNH,滝上北,たきのうえきた,TAKINOUE-N,北海道,44.1920,143.0767,44.1896,143.0806,134,-67.52,203,ABSH04,0
'01','01',N.HOCH,幌加内中,ほろかないなか,HOROKANAI-C,北海道,44.1160,142.1414,44.1136,142.1452,200,98.5,103.5,SRCH02,0
'01','01',N.TUSH,滝上南,たきのうえみなみ,TAKINOUE-S,北海道,44.1146,143.0111,44.1123,143.0149,255,147.48,109,ABSH05,0
'01','01',N.OREH,小平東,おびらひがし,OBIRA-E,北海道,44.0974,141.9621,44.0950,141.9659,102,0.46,103,RMIH04,0
'01','01',N.SRMH,佐呂間,さろま,SAROMA,北海道,44.0813,143.9455,44.0789,143.9494,5,-296.52,303,ABSH10,0
'01','01',N.SYNH,斜里北,しゃりきた,SYARI-N,北海道,44.0640,144.9935,44.0616,144.9976,65,-41.52,108,ABSH08,0
'01','01',N.ORWH,小平西,おびらにし,OBIRA-W,北海道,44.0254,141.7876,44.0231,141.7914,21,-85.55,108,RMIH05,0
'01','01',N.HOSH,幌加内南,ほろかないみなみ,HOROKANAI-S,北海道,43.9994,142.1258,43.9970,142.1296,155,54,103,SRCH03,0
'01','01',N.WSMH,和寒,わっさむ,WASSAMU,北海道,43.9754,142.2834,43.9731,142.2872,195,89,108,KKWH11,0
'01','01',N.SYSH,斜里南,しゃりみなみ,SYARI-S,北海道,43.9271,144.8075,43.9247,144.8115,40,-118.52,160,ABSH09,0
'01','01',N.MMBH,女満別,めまんべつ,MEMANBETSU,北海道,43.9144,144.1923,43.9119,144.1963,40,-83.52,125,ABSH11,0
'01','01',N.KMZH,小清水,こしみず,KOSHIMIZU,北海道,43.8566,144.4574,43.8541,144.4614,25,-96.02,122.5,ABSH12,0
